cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
Diagnostic and treatment protocol for coronavirus disease-2019. 7th edition National Health Commission of the People's Republic of China,2020,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Positive RT-PCR Test Results in Patients Recovered From COVID-19,2020,JAMA,SARS-CoV-2 Vaccines: Status Report,2020,Immunity
A pneumonia outbreak associated with a new coronavirus of probable bat origin,2020,Nature,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
"Association of Chest Physicians, airway management recommendations for adults with severe coronavirus disease-2019",,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Practical recommendations for critical care and anesthesiology teams caring for novel coronavirus (2019-nCoV) patients,2016,Can J Anaesth,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Guidelines for the use of common medical protective products in prevention and control of coronavirus disease-2019. National Health Commission of the People's Republic of China,2020,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
National Health Commission of the People's Republic of China,2020,Guidelines of coronavirus disease-2019 prevention and control in medical institutions,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Expert consensus on application of ECOM,,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Chinese Society of Anesthesiology Task Force on Airway M. Expert recommendations for tracheal intubation in critically ill patients with novel coronavirus disease 2019,,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Can breathing circuit filters help prevent the spread of influenza A (H1N1) virus from intubated patients?,2013,GMS Hyg Infect Control,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Cardiovascular manifestations of 2019-nCoV infection,2020,Chin Heart J,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Multiple functions of angiotensin-converting enzyme 2 and its relevance in cardiovascular diseases,2013,Circ J,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
The effect of perioperative use of dexmedetomidine on pediatric patients with pulmonary hypertension undergoing congenital cardiac surgery,2017,Ains Shams J Anaesthes,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Pneumothorax and mortality in the mechanically ventilated SARS patients: A prospective clinical study,2005,Crit. Care,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
The intervention timing and strategies of COVID-2019,,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Semi-quantification of pneumothorax volume by lung ultrasound,2014,Intensive Care Med,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Takotsubo cardiomyopathy: Review of broken heart syndrome,2020,JAAPA,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Clinical evidence does not support corticosteroid treatment for 2019-nCoV lung injury,2020,Lancet Lond Engl,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Chinese Medical Association. Recommendations for bedside echocardiography and remote ultrasound consultation in patients with COVID-2019,,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
Management of cardiovascular emergency surgeries in patients with COVID-2019,,,Chinese Society of Anesthesiology Expert Consensus on Anesthetic Management of Cardiac Surgical Patients With Suspected or Confirmed Coronavirus Disease 2019,2020,Journal of Cardiothoracic and Vascular Anesthesia
There is a current outbreak of coronavirus (COVID-19) disease,2020,,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
A pneumonia outbreak associated with a new coronavirus of probable bat origin,2020,Nature,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
The pathogenesis of Ebola virus disease,2017,Annual review of pathology,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
World Health Organization,2005,Coronavirus disease 2019 (COVID-19) Situation Report,Radiology Residency Preparedness and Response to the COVID-19 Pandemic,2020,Academic Radiology
Human immunodeficiency virus and acquired immunodeficiency syndrome: An update,1994,Adv Intern Med,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
Guideline on when to start antiretroviral therapy and on pre-exposure prophylaxis for HIV,2015,,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
An outbreak of salmonellosis associated with duck prosciutto at a Northern Territory restaurant,2017,Commun Dis Intell Q Rep,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
SARS and other coronaviruses as causes of pneumonia,2018,Respirology,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
A novel coronavirus outbreak of global health concern,,Lancet,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China",2020,Lancet Lond Engl,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
An updated estimation of the risk of transmission of the novel coronavirus (2019-nCov),2020,Infect Dis Model,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
Novel Coronavirus Pneumonia Emergency Response Epidemiology Team. The epidemiological characteristics of an outbreak of 2019 novel coronavirus diseases (COVID-19) in China,,Zhonghua Liu Xing Bing Xue Za Zhi,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
World Health Organization declares global emergency: A review of the,2019,,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
COVID-19-new insights on a rapidly changing epidemic,,,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
National Health Commission of the People's Republic of China. Diagnosis and treatment protocols of pneumonia caused by a novel coronavirus,,,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
Preventing COVID-19 spread in communities,,Centers for Disease Control and Prevention,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
Fentanyl enhances the excitability of rapidly adapting receptors to cause cough via the enhancement of histamine release in the airways,2013,Cough,Anesthesia Management and Perioperative Infection Control in Patients With the Novel Coronavirus,2020,Journal of Cardiothoracic and Vascular Anesthesia
